Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
Weekly provisional figures on deaths registered in England and Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week number,NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Week ended,NA,42377,42384,42391,42398,42405,42412,42419,42426,42433,42440,42447,42454,42461,42468,42475,42482,42489,42496,42503,42510,42517,42524,42531,42538,42545,42552,42559,42566,42573,42580,42587,42594,42601,42608,42615,42622,42629,42636,42643,42650,42657,42664,42671,42678,42685,42692,42699,42706,42713,42720,42727,42734
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total deaths, all ages",NA,13045,11501,11473,11317,11052,11170,10590,11056,11285,11010,11022,9635,10286,11599,11417,10925,10413,9137,10637,9953,9739,7909,9873,9386,9365,9228,9138,9388,9350,9335,9182,9172,9070,9319,7923,9399,9124,8945,8994,9291,9719,9768,9724,10152,10470,10694,10603,10439,11223,10533,11493,8003
Total deaths: average of corresponding,NA,11701.4,13016.4,11765.4,11289,10965.6,10704,10669.4,10657.6,10613,10544,10405,10209.4,9668,9592.4,10206.2,10104.8,9776.6,10127.8,9058.4,9699.2,9524,8417.2,9047.2,9388.4,8986,8852,8872.2,8706.8,8776.2,8712.2,8682.6,8651.4,8671.8,8783.4,8020,8813.2,8825.8,8839.4,9105.6,9133.2,9210,9225.6,9445.4,9459,9584.8,9751.4,9572,9615.4,10042,10317,11061.8,7925
week over the previous 5 years1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Deaths by underlying cause2,3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)",2046,1835,1775,1810,1748,1730,1700,1734,1774,1768,1709,1485,1688,1971,1809,1597,1396,1261,1447,1328,1248,982,1292,1225,1206,1106,1062,1101,1168,1190,1112,1065,1032,1093,917,1036,1027,1039,979,1060,1153,1238,1270,1276,1342,1374,1413,1371,1591,1522,1640,1312
NA,Persons 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,49,64,50,47,60,60,52,58,39,54,55,55,49,53,63,65,43,55,49,61,63,35,58,49,57,46,49,54,55,39,56,57,42,48,43,48,56,58,53,57,72,50,58,52,54,57,49,58,57,72,56,41
NA,01-14,17,24,18,14,22,21,22,20,21,22,22,18,15,15,18,24,22,23,19,21,19,19,21,22,15,13,18,15,18,15,19,15,17,16,14,23,15,15,15,21,14,21,16,21,15,26,26,15,28,22,16,7
NA,15-44,299,326,345,324,314,331,305,267,318,273,295,247,264,306,311,319,327,348,308,328,326,214,268,255,295,303,287,279,282,312,276,277,276,241,228,283,265,264,297,275,272,276,271,281,278,355,284,345,310,281,339,178
NA,45-64,1482,1363,1293,1322,1281,1356,1333,1294,1328,1340,1358,1148,1184,1327,1312,1292,1301,1075,1277,1149,1185,963,1181,1195,1161,1192,1176,1153,1115,1074,1171,1183,1078,1104,968,1161,1170,1132,1151,1115,1145,1158,1239,1186,1279,1225,1226,1191,1266,1219,1253,849
NA,65-74,2179,1925,1831,1859,1779,1826,1720,1774,1864,1755,1781,1567,1698,1941,1927,1816,1694,1490,1768,1686,1681,1445,1613,1604,1549,1570,1552,1634,1586,1567,1542,1552,1610,1577,1415,1562,1583,1548,1549,1647,1633,1652,1567,1723,1709,1703,1716,1752,1808,1675,1927,1269
NA,75-84,3727,3283,3327,3147,3181,3058,2982,3127,3180,3171,3070,2713,2992,3238,3166,3085,2927,2583,2994,2855,2697,2253,2875,2703,2659,2573,2567,2649,2638,2641,2588,2557,2624,2680,2233,2659,2628,2564,2506,2641,2746,2724,2800,2833,2954,2992,3062,2961,3176,2943,3170,2294
NA,85+,5292,4512,4606,4599,4405,4502,4175,4516,4533,4390,4434,3878,4079,4719,4617,4324,4098,3559,4218,3853,3767,2980,3857,3556,3625,3530,3489,3603,3650,3683,3524,3520,3423,3652,3020,3661,3406,3364,3422,3531,3835,3887,3773,4056,4178,4332,4239,4116,4578,4316,4725,3364
NA,Males 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,31,36,32,25,35,36,27,34,22,27,31,32,26,34,32,40,22,34,36,34,36,16,28,28,29,26,30,33,37,20,29,37,26,23,21,30,27,30,22,30,41,25,25,31,28,31,27,35,29,36,30,24
NA,01-14,10,14,8,8,14,12,14,13,13,10,10,13,10,7,10,15,14,15,5,12,10,9,10,13,9,9,9,8,9,8,11,9,10,4,9,17,6,11,7,8,6,9,11,11,6,18,12,8,13,16,6,5
NA,15-44,178,221,238,217,203,203,196,176,212,172,194,157,171,201,189,208,212,249,195,209,205,128,167,174,192,204,175,186,192,203,187,172,191,157,135,185,153,173,194,176,183,178,170,188,187,250,174,225,202,180,218,99
NA,45-64,867,812,791,773,767,782,803,733,799,795,835,683,662,768,774,766,792,629,743,687,716,546,694,725,675,701,698,683,667,630,690,738,653,699,564,710,690,670,697,637,674,687,741,670,730,709,734,692,749,748,754,451
NA,65-74,1246,1159,1079,1069,1040,1062,1015,995,1024,1030,1048,898,941,1109,1137,1039,1003,870,1057,960,957,827,923,931,909,897,917,964,936,924,923,902,946,899,825,944,900,910,925,992,961,965,908,1011,1021,1001,1013,984,1019,979,1057,738
NA,75-84,1897,1709,1734,1643,1683,1639,1616,1650,1709,1713,1596,1437,1550,1738,1688,1613,1534,1410,1563,1532,1441,1188,1535,1463,1443,1369,1359,1395,1459,1433,1416,1364,1383,1480,1204,1398,1397,1404,1327,1385,1444,1485,1494,1451,1576,1566,1621,1557,1676,1500,1682,1229
NA,85+,1982,1656,1750,1754,1655,1666,1577,1707,1745,1711,1705,1482,1583,1743,1789,1647,1548,1367,1673,1464,1417,1180,1466,1367,1454,1280,1334,1336,1414,1389,1302,1288,1324,1395,1196,1345,1338,1251,1350,1381,1508,1488,1472,1598,1565,1730,1616,1574,1738,1595,1796,1288
NA,Females 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,18,28,18,22,25,24,25,24,17,27,24,23,23,19,31,25,21,21,13,27,27,19,30,21,28,20,19,21,18,19,27,20,16,25,22,18,29,28,31,27,31,25,33,21,26,26,22,23,28,36,26,17
NA,01-14,7,10,10,6,8,9,8,7,8,12,12,5,5,8,8,9,8,8,14,9,9,10,11,9,6,4,9,7,9,7,8,6,7,12,5,6,9,4,8,13,8,12,5,10,9,8,14,7,15,6,10,2
NA,15-44,121,105,107,107,111,128,109,91,106,101,101,90,93,105,122,111,115,99,113,119,121,86,101,81,103,99,112,93,90,109,89,105,85,84,93,98,112,91,103,99,89,98,101,93,91,105,110,120,108,101,121,79
NA,45-64,615,551,502,549,514,574,530,561,529,545,523,465,522,559,538,526,509,446,534,462,469,417,487,470,486,491,478,470,448,444,481,445,425,405,404,451,480,462,454,478,471,471,498,516,549,516,492,499,517,471,499,398
NA,65-74,933,766,752,790,739,764,705,779,840,725,733,669,757,832,790,777,691,620,711,726,724,618,690,673,640,673,635,670,650,643,619,650,664,678,590,618,683,638,624,655,672,687,659,712,688,702,703,768,789,696,870,531
NA,75-84,1830,1574,1593,1504,1498,1419,1366,1477,1471,1458,1474,1276,1442,1500,1478,1472,1393,1173,1431,1323,1256,1065,1340,1240,1216,1204,1208,1254,1179,1208,1172,1193,1241,1200,1029,1261,1231,1160,1179,1256,1302,1239,1306,1382,1378,1426,1441,1404,1500,1443,1488,1065
