Contents,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54
Weekly provisional figures on deaths registered in England and Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week number,NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Week ended,NA,43469,43476,43483,43490,43497,43504,43511,43518,43525,43532,43539,43546,43553,43560,43567,43574,43581,43588,43595,43602,43609,43616,43623,43630,43637,43644,43651,43658,43665,43672,43679,43686,43693,43700,43707,43714,43721,43728,43735,43742,43749,43756,43763,43770,43777,43784,43791,43798,43805,43812,43819,43826
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total deaths, all ages",NA,10955,12609,11860,11740,11297,11660,11824,11295,11044,10898,10567,10402,9867,10126,10291,9025,10059,11207,9055,10272,10284,8260,10140,9445,9458,9511,9062,9179,9080,9112,9271,9122,9093,8994,8242,9695,9513,9440,9517,9799,9973,10156,10021,10164,10697,10650,10882,10958,10816,11188,11926,7533
Total deaths: average of corresponding,NA,12273,13670,13056,12486,11998,11623,11301,11383,11051,11286,11095,10456,10076,10268,10362,10291,10317,9804,9488,10036,9747,8125,9860,9408,9302,9177,9123,9170,9100,9023,8963,9026,9025,9113,8197,9177,9260,9197,9283,9450,9651,9726,9674,9777,10142,10226,10124,10164,10585,10622,11499,8014
week over the previous 5 years1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Deaths by underlying cause2,3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)",1736,2214,1972,1942,1931,1918,1931,1890,1786,1657,1559,1486,1314,1412,1396,1262,1406,1581,1239,1355,1324,1105,1290,1134,1134,1143,1076,1081,1024,996,1116,1048,1033,981,854,1125,1028,1056,1045,1114,1209,1236,1252,1333,1363,1451,1423,1566,1505,1637,1839,1166
NA,Persons 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,43,50,59,42,57,54,49,59,52,45,57,49,45,41,47,48,34,46,56,44,51,45,48,46,46,39,33,44,45,57,57,57,54,47,45,54,60,45,55,68,46,54,49,45,52,46,57,56,50,52,53,34
NA,01-14,15,20,29,22,15,25,17,30,20,16,24,24,17,13,23,21,18,18,17,14,21,16,18,18,20,21,26,16,14,14,11,12,24,8,16,19,12,18,14,15,16,14,14,19,7,19,19,14,17,32,19,13
NA,15-44,215,280,319,339,307,267,305,276,288,303,299,293,289,296,288,251,273,297,262,304,309,239,306,298,279,273,255,259,279,267,265,245,277,264,224,268,297,264,269,325,302,303,281,289,314,271,283,312,315,315,368,148
NA,45-64,1199,1419,1373,1438,1367,1387,1372,1395,1264,1342,1311,1249,1222,1232,1265,1100,1207,1334,1094,1274,1262,991,1223,1149,1150,1214,1112,1140,1136,1117,1123,1095,1244,1127,1026,1199,1169,1174,1197,1189,1137,1154,1198,1196,1236,1254,1225,1237,1275,1313,1316,773
NA,65-74,1766,2179,2004,1936,1852,1955,1911,1824,1826,1857,1718,1713,1643,1614,1712,1446,1730,1869,1513,1650,1765,1382,1741,1658,1625,1605,1561,1564,1500,1598,1597,1578,1573,1582,1419,1643,1617,1592,1547,1665,1595,1628,1663,1663,1676,1673,1743,1751,1689,1793,1903,1185
NA,75-84,3078,3590,3414,3266,3126,3251,3392,3169,3117,3042,2933,2948,2794,2937,2907,2547,2811,3207,2579,2864,2946,2403,2846,2672,2711,2692,2650,2616,2610,2580,2664,2575,2530,2479,2319,2775,2654,2695,2760,2780,2869,2920,2799,2938,2998,3070,3163,3142,3078,3215,3299,2231
NA,85+,4639,5071,4662,4697,4573,4721,4778,4542,4477,4293,4225,4126,3857,3993,4049,3612,3986,4436,3534,4122,3930,3184,3958,3604,3627,3667,3425,3540,3496,3479,3554,3560,3391,3487,3193,3737,3704,3652,3675,3757,4008,4083,4017,4014,4414,4317,4392,4446,4392,4468,4968,3149
NA,Males 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,28,20,39,26,38,36,27,30,24,32,30,29,26,21,31,24,16,26,34,24,29,22,26,22,25,22,24,23,31,36,30,26,28,31,23,29,31,23,28,37,26,32,23,27,29,19,32,35,32,29,25,20
NA,01-14,5,13,14,10,10,17,8,16,10,10,11,9,8,8,14,11,9,14,9,7,12,11,9,11,11,9,17,7,10,7,6,9,13,4,10,9,3,11,8,7,10,10,6,9,3,9,9,10,11,16,9,6
NA,15-44,128,168,211,225,208,152,201,159,182,197,194,200,205,184,194,146,171,207,159,192,193,147,199,198,196,186,170,174,180,165,164,156,197,169,138,183,178,165,174,218,208,193,186,176,199,172,168,209,204,187,229,85
NA,45-64,693,852,831,860,805,869,799,850,745,839,788,774,728,725,783,644,724,821,624,795,751,565,757,673,714,738,637,698,683,660,702,662,743,681,629,715,709,716,704,705,686,676,699,682,738,739,724,739,756,746,768,448
NA,65-74,992,1265,1131,1154,1045,1100,1117,1088,1059,1112,1043,965,978,930,995,852,970,1089,868,977,1044,784,1015,963,963,969,910,900,863,951,921,938,927,942,846,955,946,918,922,950,966,937,963,980,991,980,1042,1008,985,1028,1095,666
NA,75-84,1590,1857,1837,1766,1664,1718,1776,1696,1656,1664,1531,1596,1470,1589,1543,1420,1543,1709,1362,1528,1564,1247,1599,1464,1480,1509,1420,1394,1380,1374,1445,1410,1371,1357,1240,1487,1421,1412,1514,1489,1525,1551,1550,1501,1616,1635,1724,1746,1639,1711,1733,1123
NA,85+,1758,1997,1828,1862,1834,1895,1932,1804,1787,1689,1633,1630,1501,1592,1629,1430,1588,1725,1411,1685,1532,1287,1614,1442,1427,1503,1318,1471,1426,1351,1455,1387,1436,1439,1232,1480,1547,1463,1527,1508,1609,1641,1617,1573,1737,1692,1776,1808,1748,1772,1995,1218
NA,Females 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Deaths by age group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Under 1 year,15,30,20,16,19,18,22,29,28,13,27,20,19,20,16,24,18,20,22,20,22,23,22,24,21,17,9,21,14,21,27,31,26,16,22,25,29,22,27,31,20,22,26,18,23,27,25,21,18,23,28,14
NA,01-14,10,7,15,12,5,8,9,14,10,6,13,15,9,5,9,10,9,4,8,7,9,5,9,7,9,12,9,9,4,7,5,3,11,4,6,10,9,7,6,8,6,4,8,10,4,10,10,4,6,16,10,7
NA,15-44,87,112,108,114,99,115,104,117,106,106,105,93,84,112,94,105,102,90,103,112,116,92,107,100,83,87,85,85,99,102,101,89,80,95,86,85,119,99,95,107,94,110,95,113,115,99,115,103,111,128,139,63
NA,45-64,506,567,542,578,562,518,573,545,519,503,523,475,494,507,482,456,483,513,470,479,511,426,466,476,436,476,475,442,453,457,421,433,501,446,397,484,460,458,493,484,451,478,499,514,498,515,501,498,519,567,548,325
NA,65-74,774,914,873,782,807,855,794,736,767,745,675,748,665,684,717,594,760,780,645,673,721,598,726,695,662,636,651,664,637,647,676,640,646,640,573,688,671,674,625,715,629,691,700,683,685,693,701,743,704,765,808,519
NA,75-84,1488,1733,1577,1500,1462,1533,1616,1473,1461,1378,1402,1352,1324,1348,1364,1127,1268,1498,1217,1336,1382,1156,1247,1208,1231,1183,1230,1222,1230,1206,1219,1165,1159,1122,1079,1288,1233,1283,1246,1291,1344,1369,1249,1437,1382,1435,1439,1396,1439,1504,1566,1108
